Year,Country,Region,Ecosystem type,Units,Unit measure,Unit multiplier,GeoCode,Value
2011,England,East Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,6.0
2011,England,East Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,6.0
2011,England,West Midlands,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,817.0
2011,England,West Midlands,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,814.0
2011,England,West Midlands,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2011,England,West Midlands,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,2275.0
2011,England,West Midlands,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,2274.0
2011,England,West Midlands,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2011,England,West Midlands,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,141.0
2011,England,West Midlands,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,140.0
2011,England,West Midlands,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,99.0
2011,England,West Midlands,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,634.0
2011,England,West Midlands,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,631.0
2011,England,West Midlands,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2011,England,West Midlands,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,970.0
2011,England,West Midlands,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,970.0
2011,England,West Midlands,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2011,England,West Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,2276.0
2011,England,West Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,2275.0
2011,England,West Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2011,England,West Midlands,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,234.0
2011,England,West Midlands,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,234.0
2011,England,West Midlands,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2011,England,West Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,40.0
2011,England,West Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,37.0
2011,England,West Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,92.0
2011,England,East,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,7594.0
2011,England,East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,6915.0
2011,England,East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,91.0
2011,England,East,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,20375.0
2011,England,East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,19900.0
2011,England,East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,98.0
2011,England,East,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,19703.0
2011,England,East,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,13258.0
2011,England,East,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,67.0
2011,England,East,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,12378.0
2011,England,East,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,8225.0
2011,England,East,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,66.0
2011,England,East,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,11314.0
2011,England,East,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,11066.0
2011,England,East,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,98.0
2011,England,East,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,1746.0
2011,England,East,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,1735.0
2011,England,East,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,99.0
2011,England,East,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,23038.0
2011,England,East,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,12527.0
2011,England,East,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,54.0
2011,England,East,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,2810.0
2011,England,East,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,1874.0
2011,England,East,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,67.0
2011,England,East,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,26151.0
2011,England,East,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,8084.0
2011,England,East,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,31.0
2011,England,East,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,984.0
2011,England,East,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,298.0
2011,England,East,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,30.0
2011,England,London,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,141.0
2011,England,London,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,123.0
2011,England,London,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,87.0
2011,England,London,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,0.0
2011,England,London,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,0.0
2011,England,London,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,43.0
2011,England,London,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,57.0
2011,England,London,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,29.0
2011,England,London,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,51.0
2011,England,London,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,609.0
2011,England,London,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,426.0
2011,England,London,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,70.0
2011,England,London,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,1.0
2011,England,London,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,1.0
2011,England,London,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,100.0
2011,England,London,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,1488.0
2011,England,London,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,507.0
2011,England,London,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,34.0
2011,England,London,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,44.0
2011,England,London,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,0.0
2011,England,London,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,0.0
2011,England,London,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,454.0
2011,England,London,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,58.0
2011,England,London,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,13.0
2011,England,South East,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,23827.0
2011,England,South East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,22727.0
2011,England,South East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,95.0
2011,England,South East,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,12494.0
2011,England,South East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,10786.0
2011,England,South East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,86.0
2011,England,South East,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,7862.0
2011,England,South East,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,1270.0
2011,England,South East,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,16.0
2011,England,South East,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,18959.0
2011,England,South East,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,9783.0
2011,England,South East,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,52.0
2011,England,South East,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,4374.0
2011,England,South East,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,4022.0
2011,England,South East,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,92.0
2011,England,South East,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,20435.0
2011,England,South East,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,20265.0
2011,England,South East,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,99.0
2011,England,South East,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,12250.0
2011,England,South East,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,394.0
2011,England,South East,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,3.0
2011,England,South East,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,3680.0
2011,England,South East,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,1734.0
2011,England,South East,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,47.0
2011,England,South East,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,15421.0
2011,England,South East,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,4116.0
2011,England,South East,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,27.0
2011,England,South East,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000008,2155.0
2011,England,South East,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000008,796.0
2011,England,South East,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000008,37.0
2011,England,South West,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,17403.0
2011,England,South West,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,15243.0
2011,England,South West,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,88.0
2011,England,South West,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,9544.0
2011,England,South West,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,5153.0
2011,England,South West,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,54.0
2011,England,South West,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,7156.0
2011,England,South West,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,4756.0
2011,England,South West,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,66.0
2011,England,South West,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,20723.0
2011,England,South West,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,14918.0
2011,England,South West,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,72.0
2011,England,South West,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,45582.0
2011,England,South West,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,44697.0
2011,England,South West,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,98.0
2011,England,South West,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,20858.0
2011,England,South West,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,17463.0
2011,England,South West,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,84.0
2011,England,South West,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,10070.0
2011,England,South West,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,2265.0
2011,England,South West,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,22.0
2011,England,South West,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,2796.0
2011,England,South West,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,1337.0
2011,England,South West,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,48.0
2011,England,South West,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,18963.0
2011,England,South West,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,8346.0
2011,England,South West,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,44.0
2011,England,South West,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,1730.0
2011,England,South West,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,739.0
2011,England,South West,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,43.0
2015,England,North East,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,3247.0
2015,England,North East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,3182.0
2015,England,North East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,98.0
2015,England,North East,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,3240.0
2015,England,North East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,3100.0
2015,England,North East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,96.0
2015,England,North East,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,1246.0
2015,England,North East,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,1193.0
2015,England,North East,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,96.0
2015,England,North East,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,26998.0
2015,England,North East,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,26445.0
2015,England,North East,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,98.0
2015,England,North East,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,31385.0
2015,England,North East,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,31289.0
2015,England,North East,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,100.0
2015,England,North East,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,72970.0
2015,England,North East,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,72866.0
2015,England,North East,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,100.0
2015,England,North East,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,246.0
2015,England,North East,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,35.0
2015,England,North East,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,14.0
2015,England,North East,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,1407.0
2015,England,North East,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,1262.0
2015,England,North East,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,90.0
2015,England,North East,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,4869.0
2015,England,North East,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,209.0
2015,England,North East,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,4.0
2015,England,North East,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,371.0
2015,England,North East,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,332.0
2015,England,North East,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,89.0
2015,England,North West,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,8317.0
2015,England,North West,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,7372.0
2015,England,North West,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,89.0
2015,England,North West,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,5170.0
2015,England,North West,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,4961.0
2015,England,North West,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,96.0
2015,England,North West,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,1222.0
2015,England,North West,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,736.0
2015,England,North West,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,60.0
2015,England,North West,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,51265.0
2015,England,North West,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,50261.0
2015,England,North West,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,98.0
2015,England,North West,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,75896.0
2015,England,North West,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,75755.0
2015,England,North West,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,100.0
